market_date,summary_vader,summary_sentiment,description_vader,description_sentiment,news_count
2024-05-01,0.753775,0.25,0.2334,-0.5,4
2024-05-02,0.2812333333333333,0.3333333333333333,0.21423333333333336,0.0,3
2024-05-05,0.6490333333333332,0.0,0.3246666666666667,0.0,3
2024-05-06,-0.4408,-1.0,0.4136,0.0,2
2024-05-07,-0.06345000000000002,0.0,0.359125,-0.25,4
2024-05-08,0.39974999999999994,0.0,0.16515000000000002,-0.5,2
2024-05-09,0.72125,-0.5,0.4903,-0.5,2
2024-05-10,-0.128,-1.0,0.0,0.0,1
2024-05-12,-0.19963333333333333,-0.6666666666666666,0.3309,0.0,3
2024-05-13,0.6426499999999999,1.0,0.50995,0.5,2
2024-05-14,0.5808,0.3333333333333333,0.12726666666666667,0.0,3
2024-05-15,0.7226,0.5,0.5794,0.0,2
2024-05-16,0.26909999999999995,0.3333333333333333,0.3691333333333333,0.6666666666666666,3
2024-05-17,0.2521,0.5,0.431,0.5,2
2024-05-18,0.743,1.0,0.4767,-1.0,1
2024-05-20,0.699225,-0.25,0.507625,0.5,4
2024-05-21,0.257375,0.125,0.1754,0.0,8
2024-05-22,0.3980083333333333,0.5,0.3814583333333333,0.4166666666666667,12
2024-05-23,0.689878947368421,0.7894736842105263,0.4326157894736842,0.6842105263157895,19
2024-05-24,0.4577727272727273,0.0,0.37799090909090904,0.18181818181818182,11
2024-05-26,0.59665,0.0,0.41356666666666664,0.0,6
2024-05-27,0.47929000000000005,0.5,0.56682,0.0,10
2024-05-28,0.31211428571428573,0.0,0.3363285714285715,-0.14285714285714285,7
2024-05-29,0.43625882352941175,-0.7647058823529411,0.2747823529411765,-0.35294117647058826,17
2024-05-30,0.44294,-0.6666666666666666,0.26562,-0.3333333333333333,15
2024-05-31,0.46267777777777774,0.4444444444444444,0.3332333333333333,0.3333333333333333,9
2024-06-02,0.7662,0.0,0.4408666666666667,0.3333333333333333,3
2024-06-03,0.64273,0.8,0.6440699999999999,0.7,10
2024-06-04,0.17170769230769228,-0.5384615384615384,0.2175923076923077,-0.3076923076923077,13
2024-06-05,0.51343125,0.4375,0.3046875,0.4375,16
2024-06-06,0.43068999999999996,0.4,0.5632699999999999,0.7,10
2024-06-07,0.6046666666666667,0.8333333333333334,0.523625,0.6666666666666666,12
2024-06-09,0.5919,0.6666666666666666,0.06743333333333333,0.3333333333333333,3
2024-06-10,0.44939444444444443,-0.05555555555555555,0.3285722222222222,0.0,18
2024-06-11,0.40885,0.2,0.27399999999999997,0.2,10
2024-06-12,0.5641153846153846,0.6923076923076923,0.5536,0.6153846153846154,13
2024-06-13,0.4508538461538461,0.5384615384615384,0.4605153846153846,0.6153846153846154,13
2024-06-14,0.5029769230769231,0.46153846153846156,0.4525692307692308,0.6923076923076923,13
2024-06-15,0.7383500000000001,1.0,0.6996,0.5,2
2024-06-16,0.54635,0.5,0.35015,0.5,2
2024-06-17,0.7032333333333334,0.3333333333333333,0.41759999999999997,0.0,3
2024-06-18,0.60771875,0.6875,0.46238124999999997,0.6875,16
2024-06-19,0.6384416666666667,0.3333333333333333,0.5574,0.5,12
2024-06-20,0.48662,0.4,0.46561,0.3,10
2024-06-21,0.42207142857142854,0.07142857142857142,0.2755785714285714,0.07142857142857142,14
2024-06-22,0.8591,1.0,0.7845,1.0,1
2024-06-23,0.359575,-0.75,0.5252249999999999,0.0,4
2024-06-24,0.6811111111111111,0.0,0.6353222222222222,0.6666666666666666,9
2024-06-25,0.7651642857142856,0.9285714285714286,0.47551428571428567,0.6428571428571429,14
2024-06-26,0.7807444444444445,0.7777777777777778,0.5538222222222222,0.4444444444444444,9
2024-06-27,0.5213333333333333,0.5333333333333333,0.4631466666666667,0.6666666666666666,15
2024-06-28,0.3343125,0.0,0.1285625,0.125,8
2024-06-29,0.3612,1.0,0.7269,1.0,1
2024-06-30,0.5707333333333334,0.3333333333333333,0.6301333333333333,0.6666666666666666,6
2024-07-01,0.7087714285714286,0.7142857142857143,0.5387714285714286,0.6428571428571429,14
2024-07-02,0.6987300000000001,-0.1,0.39418000000000003,-0.1,10
2024-07-03,0.5493230769230769,0.7692307692307693,0.6065307692307692,0.8461538461538461,13
2024-07-04,0.7303,0.7333333333333333,0.5099333333333333,0.7333333333333333,15
2024-07-05,0.24594285714285716,-0.2857142857142857,0.3273857142857143,0.0,7
2024-07-06,0.6808,0.0,0.6249,0.0,1
2024-07-07,0.3726833333333333,0.16666666666666666,0.4984333333333333,0.16666666666666666,6
2024-07-08,0.3806272727272727,-0.36363636363636365,0.09598181818181817,-0.2727272727272727,11
2024-07-09,0.6583636363636364,0.6363636363636364,0.6225,0.7272727272727273,11
2024-07-10,0.40115625,-0.375,0.25948125,-0.25,16
2024-07-11,0.4328090909090909,0.0,0.6348727272727273,0.09090909090909091,11
2024-07-12,0.6727249999999999,0.8333333333333334,0.355475,0.75,12
2024-07-14,0.705,0.75,0.574475,0.25,4
2024-07-15,0.614375,0.5,0.5175416666666667,0.8333333333333334,12
2024-07-16,0.4934928571428571,0.21428571428571427,0.6352214285714286,0.7142857142857143,14
2024-07-17,0.5427714285714286,0.14285714285714285,0.4359,0.2857142857142857,7
2024-07-18,0.6229375,0.4375,0.58996875,0.75,16
2024-07-19,0.29180833333333334,-0.5833333333333334,0.23957499999999998,-0.5,12
2024-07-20,0.4779,-1.0,0.6486,1.0,1
2024-07-21,0.50705,-0.25,0.262275,0.0,4
2024-07-22,0.2393,0.1,0.41287,-0.1,10
2024-07-23,0.573425,0.125,0.3293625,-0.0625,16
