Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),Sentiments
26-Oct-23,19027.25,19041.7,18837.85,18857.25,300356469,28939.64,-170
27-Oct-23,18928.75,19076.15,18926.65,19047.25,205201044,19947.48,118.5
30-Oct-23,19053.4,19158.5,18940,19140.9,180132492,17095.73,87.5
31-Oct-23,19232.95,19233.7,19056.45,19079.6,206049341,19397.36,-153.35
01-Nov-23,19064.05,19096.05,18973.7,18989.15,194103279,18452.51,-74.9
02-Nov-23,19120,19175.25,19064.15,19133.25,245595109,19771.49,13.25
03-Nov-23,19241,19276.25,19210.9,19230.6,189516123,17304.87,-10.4
06-Nov-23,19345.85,19423,19309.7,19411.75,180690631,16296.56,65.9
07-Nov-23,19404.05,19423.5,19329.1,19406.7,198660124,18288.06,2.65
08-Nov-23,19449.6,19464.4,19401.5,19443.5,194967997,17060.45,-6.1
09-Nov-23,19457.4,19463.9,19378.35,19395.3,208418472,19087.29,-62.1
10-Nov-23,19351.85,19451.3,19329.45,19425.35,152215785,12916.21,73.5
12-Nov-23,19547.25,19547.25,19510.25,19525.55,37311902,2482.27,-21.7
13-Nov-23,19486.75,19494.4,19414.75,19443.55,189275733,13527.22,-43.2
15-Nov-23,19651.4,19693.2,19579.65,19675.45,291464988,24957.24,24.05
16-Nov-23,19674.7,19875.25,19627,19765.2,282686669,26041.45,90.5
17-Nov-23,19674.75,19806,19667.45,19731.8,236827462,21681.28,57.05
20-Nov-23,19731.15,19756.45,19670.5,19694,173780543,16737.05,-37.15
21-Nov-23,19770.9,19829.1,19754.05,19783.4,194969012,17947.2,12.5
22-Nov-23,19784,19825.55,19703.85,19811.85,184497984,17405.48,27.85
23-Nov-23,19828.45,19875.15,19786.75,19802,170024085,15906.94,-26.45
24-Nov-23,19809.6,19832.85,19768.85,19794.7,145895044,14389.29,-14.9
28-Nov-23,19844.65,19916.85,19800,19889.7,229595031,23043.25,45.05
29-Nov-23,19976.55,20104.65,19956.3,20096.6,236241768,22367.64,120.05
30-Nov-23,20108.5,20158.7,20015.85,20133.15,486585349,48877.95,24.65
01-Dec-23,20194.1,20291.55,20183.7,20267.9,265812566,22461.53,73.8
04-Dec-23,20601.95,20702.65,20507.75,20686.8,381107418,33917.52,84.85
05-Dec-23,20808.9,20864.05,20711.15,20855.1,421008350,41763.52,46.2
06-Dec-23,20950.75,20961.95,20852.15,20937.7,359212958,35654.76,-13.05
07-Dec-23,20932.4,20941.25,20850.8,20901.15,274985308,24862.43,-31.25
08-Dec-23,20934.1,21006.1,20862.7,20969.4,292440768,27449.96,35.3
11-Dec-23,20965.3,21026.1,20923.7,20997.1,212921451,21150.17,31.8
12-Dec-23,21018.55,21037.9,20867.15,20906.4,244867128,25404.64,-112.15
13-Dec-23,20929.75,20950,20769.5,20926.35,260269318,25918.44,-3.4
14-Dec-23,21110.4,21210.9,21074.45,21182.7,334410589,32593.42,72.3
15-Dec-23,21287.45,21492.3,21235.3,21456.65,508761756,50114.46,169.2
18-Dec-23,21434.8,21482.8,21365.35,21418.65,249668965,23615.28,-16.15
19-Dec-23,21477.65,21505.05,21337.75,21453.1,249750062,23750.61,-24.55
20-Dec-23,21543.5,21593,21087.35,21150.15,363886229,30993.12,-393.35
21-Dec-23,21033.95,21288.35,20976.8,21255.05,277548079,26001.02,221.1
22-Dec-23,21295.85,21390.5,21232.45,21349.4,284708918,27709.29,53.55
26-Dec-23,21365.2,21477.15,21329.45,21441.35,219467748,20081.33,76.15
27-Dec-23,21497.65,21675.75,21495.8,21654.75,256542963,23059.25,157.1
28-Dec-23,21715,21801.45,21678,21778.7,393080755,35031,63.7
29-Dec-23,21737.65,21770.3,21676.9,21731.4,270922276,23697.88,-6.25
01-Jan-24,21727.75,21834.35,21680.85,21741.9,153995217,14184.09,14.15
02-Jan-24,21751.35,21755.6,21555.65,21665.8,263711568,25316.13,-85.55
03-Jan-24,21661.1,21677,21500.35,21517.35,311933117,32329.23,-143.75
04-Jan-24,21605.8,21685.65,21564.55,21658.6,339172697,30868.15,52.8
05-Jan-24,21705.75,21749.6,21629.2,21710.8,309303266,26554.49,5.05
08-Jan-24,21747.6,21763.95,21492.9,21513,231452935,21140.94,-234.6
09-Jan-24,21653.6,21724.45,21517.85,21544.85,228568589,24055.74,-108.75
10-Jan-24,21529.3,21641.85,21448.65,21618.7,216991926,20958.96,89.4
11-Jan-24,21688,21726.5,21593.75,21647.2,212453866,23492.12,-40.8
12-Jan-24,21773.55,21928.25,21715.15,21894.55,294678459,30565.5,121
15-Jan-24,22053.15,22115.55,21963.55,22097.45,345543523,29523.15,44.3
16-Jan-24,22080.5,22124.15,21969.8,22032.3,292433764,24435.94,-48.2
17-Jan-24,21647.25,21851.5,21550.45,21571.95,455999867,47533.44,-75.3
18-Jan-24,21414.2,21539.4,21285.55,21462.25,387341268,39718.84,48.05
19-Jan-24,21615.2,21670.6,21575,21622.4,343055124,34429.24,7.2
20-Jan-24,21706.15,21720.3,21541.8,21571.8,162073740,13917.46,-134.35
23-Jan-24,21716.7,21750.25,21192.6,21238.8,449718534,48813.68,-477.9
24-Jan-24,21185.25,21482.35,21137.2,21453.95,407460664,41718.64,268.7
25-Jan-24,21454.6,21459,21247.05,21352.6,418143077,40088.5,-102
29-Jan-24,21433.1,21763.25,21429.6,21737.6,376702289,34516.42,304.5
30-Jan-24,21775.75,21813.05,21501.8,21522.1,375137333,32916.3,-253.65
31-Jan-24,21487.25,21741.35,21448.85,21725.7,410583065,41587.85,238.45
01-Feb-24,21780.65,21832.95,21658.75,21697.45,332541208,34042.15,-83.2
02-Feb-24,21812.75,22126.8,21805.55,21853.8,442794738,38395.9,41.05
05-Feb-24,21921.05,21964.3,21726.95,21771.7,440849699,33807.94,-149.35
06-Feb-24,21825.2,21951.4,21737.55,21929.4,370968111,32910.82,104.2
